0
FJW8001,E145,FVRG,FVFA,HRE,VFA,6:40:00,7:50:00,1:10:00,FVJN,,
FJW8002,E145,FVFA,FVRG,VFA,HRE,8:15:00,9:20:00,1:05:00,FVJN,,
FJW8221,E145,FVRG,FAOR,HRE,JNB,10:15:00,12:00:00,1:45:00,FALA,,
FJW8335,E145,FVRG,FAOR,HRE,JNB,14:15:00,16:00:00,1:45:00,FVJN,,
FJW8336,E145,FAOR,FVRG,JNB,HRE,16:30:00,18:10:00,1:40:00,FVJN,,
FJW8339,E145,FVRG,FAOR,HRE,JNB,10:00:00,11:45:00,1:45:00,FALA,,
FJW8340,E145,FAOR,FVRG,JNB,HRE,12:15:00,13:55:00,1:40:00,FVJN,,
FJW8338,E145,FAOR,FVRG,JNB,HRE,17:50:00,19:30:00,1:40:00,FLKK,,
FJW8337,E145,FVRG,FAOR,HRE,JNB,15:30:00,17:15:00,1:45:00,FALA,,
FJW8332,E145,FAOR,FVRG,JNB,HRE,6:35:00,8:15:00,1:40:00,FVJN,,
FJW8441,E145,FVRG,FVJN,HRE,BUQ,4:00:00,4:50:00,0:50:00,FVRG,,
FJW8661,E145,FVJN,FAOR,BUQ,JNB,7:25:00,8:45:00,1:20:00,FALA,,
FJW8502,E145,FAOR,FVFA,JNB,VFA,9:10:00,10:50:00,1:40:00,FVRG,,
FJW8501,E145,FVFA,FAOR,VFA,JNB,11:20:00,12:55:00,1:35:00,FALA,,
FJW8664,E145,FAOR,FVJN,JNB,BUQ,14:15:00,15:35:00,1:20:00,FVRG,,
FJW8663,E145,FVJN,FAOR,BUQ,JNB,16:10:00,17:30:00,1:20:00,FALA,,
FJW8442,E145,FVJN,FVRG,BUQ,HRE,5:20:00,6:15:00,0:55:00,FVJN,,
FJW8331,E145,FVRG,FAOR,HRE,JNB,4:20:00,6:05:00,1:45:00,,,
FJW8333,E145,FVRG,FAOR,HRE,JNB,8:45:00,10:30:00,1:45:00,FALA,,
FJW8334,E145,FAOR,FVRG,JNB,HRE,10:55:00,12:35:00,1:40:00,FVJN,,
FJW8003,e145,FVRG,FVFA,HRE,VFA,6:30:00,7:40:00,1:10:00,FVJN,,
FJW8004,E145,FVFA,FVRG,VFA,HRE,8:10:00,9:15:00,1:05:00,FVJN,,
FJW8801,E145,FVFA,FAKN,VFA,MQP,8:30:00,10:15:00,1:45:00,FAOR,,
FJW8802,E145,FAKN,FVFA,MQP,VFA,10:45:00,12:30:00,1:45:00,FVJN,,
FJW8006,E145,FVFA,FVRG,VFA,HRE,13:10:00,14:15:00,1:45:00,FVJN,,
FJW8443,E145,FVRG,FVJN,HRE,BUQ,15:00:00,15:50:00,0:50:00,FVRG,,
FJW8444,E145,FVJN,FVRG,BUQ,HRE,16:20:00,17:15:00,0:55:00,FVJN,,
FJW8504,E145,FAOR,FVFA,JNB,VFA,7:55:00,9:35:00,1:40:00,FVJN,,
FJW8503,E145,FVFA,FAOR,VFA,JNB,11:00:00,12:35:00,1:35:00,FALA,,
FJW8005,E145,FVRG,FVFA,HRE,VFA,11:30:00,12:40:00,1:10:00,FVJN,,
FJW8006,E145,FVFA,FVRG,VFA,HRE,13:10:00,14:15:00,1:05:00,FVJN,,
